epoch,train_loss,val_loss,macro_auc,precision,recall,f1,is_best
1,0.1963,0.1884,0.6543,0.0448,0.0522,0.0482,True
2,0.1879,0.1856,0.6926,0.0450,0.0533,0.0488,True
3,0.1859,0.1836,0.7091,0.0785,0.0532,0.0489,True
4,0.1843,0.1825,0.7196,0.0447,0.0548,0.0493,True
5,0.1834,0.1821,0.7243,0.0698,0.0530,0.0491,True
