epoch,train_loss,val_loss,macro_auc,precision,recall,f1,is_best
1,0.1912,0.1821,0.6998,0.1769,0.0547,0.0519,False
2,0.1801,0.1795,0.7249,0.1836,0.0588,0.0569,False
3,0.1780,0.1783,0.7354,0.1593,0.0616,0.0623,False
4,0.1767,0.1777,0.7408,0.1565,0.0597,0.0594,False
5,0.1759,0.1773,0.7445,0.2274,0.0624,0.0621,False
